,bib,id,name,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,uci,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed_ms,speed_ms_vs_best,speed_rank
10,32,1032,PAYET Florent,11,46.52,20.784,55.064,84.103,120.597,143.026,40,25,Finished,10004035685,4.0,0.17099999999999937,-0.0259999999999998,11.0,2.2040000000000006,2.2040000000000006,34.28,17.0,2.230000000000004,2.230000000000004,13.0,3.317999999999998,3.317999999999998,29.038999999999994,21.0,1.2879999999999967,1.1139999999999972,12.0,4.082999999999998,4.082999999999998,36.494,13.0,1.1870000000000118,0.7650000000000006,11.0,3.8329999999999984,3.8329999999999984,22.429000000000016,6.0,0.5319999999999965,-0.25,12.922222222222224,0.8555555555555543,32.0
11,45,1045,MULALLY Neko,12,47.08,21.542,55.314,84.549,120.848,143.616,30,35,Finished,10007287613,28.0,0.929000000000002,0.7320000000000029,13.0,2.4540000000000006,2.4540000000000006,33.772,9.0,1.7220000000000013,1.7220000000000013,16.0,3.76400000000001,3.76400000000001,29.235000000000007,22.0,1.4840000000000089,1.3100000000000094,14.0,4.334000000000003,4.334000000000003,36.29899999999999,9.0,0.9920000000000044,0.5699999999999932,12.0,4.423000000000002,4.423000000000002,22.768000000000015,15.0,0.8709999999999951,0.08899999999999864,13.077777777777778,0.7000000000000011,21.0
12,3,1003,MINNAAR Greg,13,44.52,21.379,54.424,82.729,119.805,143.663,55,10,Finished,10002818640,22.0,0.7660000000000018,0.5690000000000026,5.0,1.564,1.564,33.045,2.0,0.9950000000000045,0.9950000000000045,5.0,1.9440000000000026,1.9440000000000026,28.305,10.0,0.554000000000002,0.38000000000000256,9.0,3.291000000000011,3.291000000000011,37.07600000000001,20.0,1.7690000000000197,1.3470000000000084,13.0,4.469999999999999,4.469999999999999,23.858000000000004,42.0,1.9609999999999843,1.1789999999999878,12.366666666666669,1.4111111111111097,51.0
13,20,1020,HARRISON Charlie,14,48.48,21.833,56.331,85.836,122.221,144.696,56,9,Finished,10009645925,41.0,1.2199999999999989,1.0229999999999997,27.0,3.4710000000000036,3.4710000000000036,34.498000000000005,20.0,2.4480000000000075,2.4480000000000075,32.0,5.051000000000002,5.051000000000002,29.504999999999995,28.0,1.7539999999999978,1.5799999999999983,17.0,5.707000000000008,5.707000000000008,36.385000000000005,11.0,1.0780000000000172,0.6560000000000059,14.0,5.502999999999986,5.502999999999986,22.474999999999994,7.0,0.5779999999999745,-0.20400000000002194,13.466666666666667,0.3111111111111118,4.0
14,41,1041,SMITH Joseph,15,47.57,21.683,55.744,84.643,121.336,144.874,44,21,Finished,10005852518,35.0,1.0700000000000003,0.8730000000000011,17.0,2.8840000000000003,2.8840000000000003,34.061,14.0,2.011000000000003,2.011000000000003,17.0,3.858000000000004,3.858000000000004,28.899,16.0,1.1480000000000032,0.9740000000000038,15.0,4.822000000000003,4.822000000000003,36.693,14.0,1.38600000000001,0.9639999999999986,15.0,5.680999999999983,5.680999999999983,23.537999999999997,34.0,1.640999999999977,0.8589999999999804,13.21388888888889,0.5638888888888882,13.0
15,12,1012,GUTIERREZ VILLEGAS Marcelo,16,47.83,21.467,56.692,85.392,122.441,144.994,52,13,Finished,10005855649,25.0,0.8539999999999992,0.657,33.0,3.8320000000000007,3.8320000000000007,35.225,34.0,3.1750000000000043,3.1750000000000043,20.0,4.606999999999999,4.606999999999999,28.699999999999996,13.0,0.9489999999999981,0.7749999999999986,21.0,5.927000000000007,5.927000000000007,37.04900000000001,19.0,1.7420000000000186,1.3200000000000074,16.0,5.800999999999988,5.800999999999988,22.552999999999997,9.0,0.6559999999999775,-0.12600000000001899,13.286111111111111,0.49166666666666714,10.0
16,58,1058,THIRION Remi,17,46.54,21.61,56.472,85.41,122.435,145.012,42,23,Finished,10005415715,34.0,0.9969999999999999,0.8000000000000007,28.0,3.612000000000002,3.612000000000002,34.862,27.0,2.8120000000000047,2.8120000000000047,21.0,4.625,4.625,28.937999999999995,17.0,1.1869999999999976,1.0129999999999981,20.0,5.9210000000000065,5.9210000000000065,37.025000000000006,18.0,1.7180000000000177,1.2960000000000065,17.0,5.818999999999988,5.818999999999988,22.576999999999998,10.0,0.6799999999999784,-0.10200000000001808,12.927777777777779,0.8499999999999996,31.0
17,29,1029,WILLIAMSON Greg,18,48.13,21.172,55.971,85.577,122.384,145.171,34,31,Finished,10006909111,15.0,0.559000000000001,0.3620000000000019,22.0,3.110999999999997,3.110999999999997,34.79899999999999,26.0,2.7489999999999952,2.7489999999999952,26.0,4.792000000000002,4.792000000000002,29.606,31.0,1.855000000000004,1.6810000000000045,19.0,5.8700000000000045,5.8700000000000045,36.807,15.0,1.5000000000000142,1.078000000000003,18.0,5.97799999999998,5.97799999999998,22.786999999999992,16.0,0.8899999999999721,0.10799999999997567,13.369444444444445,0.4083333333333332,8.0
18,43,1043,ATHERTON Gee,19,47.3,21.441,56.881,85.846,121.954,145.273,39,26,Finished,10003434386,24.0,0.8279999999999994,0.6310000000000002,35.0,4.021000000000001,4.021000000000001,35.44,39.0,3.3900000000000006,3.3900000000000006,33.0,5.061000000000007,5.061000000000007,28.965000000000003,18.0,1.2140000000000057,1.0400000000000063,16.0,5.439999999999998,5.439999999999998,36.10799999999999,7.0,0.8010000000000019,0.3789999999999907,19.0,6.079999999999984,6.079999999999984,23.319000000000003,27.0,1.4219999999999828,0.6399999999999864,13.13888888888889,0.6388888888888893,17.0
19,97,1097,KOLB Andreas,20,46.8,21.781,55.982,85.459,122.289,145.597,37,28,Finished,10009187092,39.0,1.1679999999999993,0.9710000000000001,23.0,3.122,3.122,34.201,15.0,2.1510000000000034,2.1510000000000034,22.0,4.674000000000007,4.674000000000007,29.477000000000004,27.0,1.7260000000000062,1.5520000000000067,18.0,5.775000000000006,5.775000000000006,36.83,16.0,1.5230000000000103,1.100999999999999,20.0,6.403999999999996,6.403999999999996,23.308000000000007,26.0,1.4109999999999872,0.6289999999999907,13.0,0.7777777777777786,25.0
