,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
131,52,1052,KOLB Andreas,132,,,,,,48,98,DNF,10009187092,
132,27,1027,PAYET Florent,133,,,,,,26,120,DNF,10004035685,
133,9,1009,NORTON Dakotah,134,,,,,,9,137,DNF,10010038167,
134,68,1068,GARLICKI Stefan,135,,,,,,59,87,DNF,10006796549,
135,63,1063,LUKASIK Slawomir,136,,,,,,55,91,DSQ,10007405932,
136,87,1087,JAUCH Jasper,137,,,,,,75,71,DNS,10007455745,
137,89,1089,WRIGHT Keegan,138,,,,,,77,69,DNS,10009539831,
138,160,1160,SHIRLEY Jake,139,,,,,,140,6,DNS,10014311625,
139,105,1105,SEAGRAVE Kaos,140,,,,,,91,55,DNS,10011013928,
140,114,1114,VIEIRA Roger,141,,,,,,98,48,DNS,10009164258,
141,135,1135,DAVIES Emyr,142,,,,,,117,29,DNS,10006341255,
142,136,1136,FRANSOLET Maxime,143,,,,,,118,28,DNS,10009656534,
143,140,1140,BAUER Felix,144,,,,,,122,24,DNS,10015867059,
144,165,1165,HEDMAN Tim,145,,,,,,143,3,DNS,10007886585,
