,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
132,108,1108,POSADA COLORADO John Sebastian,133,54.021,94.038,136.899,184.09,217.256,99,64,Finished,10007376630,
133,149,1149,PRIES Timo,134,53.957,95.779,136.917,185.386,217.357,139,24,Finished,10007753718,
134,99,1099,DICKERSON Bryn,135,58.683,98.864,138.264,184.503,219.301,91,72,Finished,10006949022,
135,80,1080,CEBALLOS OTALVARO Steven,136,53.555,92.014,133.332,186.074,219.658,75,88,Finished,10010818514,
136,120,1120,STEPHENS Tanner,137,53.451,93.765,135.637,189.509,221.131,111,52,Finished,10011238644,
137,173,1173,LAWTON Matt,138,55.013,96.034,138.266,187.895,221.151,162,1,Finished,10009539932,
138,162,1162,KRAL Antonin,139,53.499,99.387,141.737,188.28,221.668,152,11,Finished,10016067628,
139,130,1130,MASARYK Oskar,140,52.679,91.321,132.756,188.588,222.762,120,43,Finished,10009568527,
140,144,1144,DENGATE Benjamin,141,54.384,95.654,137.629,189.066,223.701,134,29,Finished,10009539023,
141,161,1161,MARCINA Peter,142,54.558,97.763,140.897,190.225,224.348,151,12,Finished,10011103854,
142,153,1153,ROBBINS Adam,143,55.256,98.597,140.927,190.966,224.464,143,20,Finished,10010037662,
143,134,1134,FREY Frieder,144,55.88,98.499,140.582,189.778,224.85,124,39,Finished,10009897620,
144,128,1128,KERESZTES Peter,145,56.519,98.219,141.15,190.467,224.984,118,45,Finished,10008552956,
145,142,1142,ZULUAGA MEJIA Esteban,146,55.431,97.913,141.969,191.368,225.697,132,31,Finished,10008588827,
146,112,1112,KHRIPUNOV Vitaly,147,56.019,98.169,142.252,192.46,227.626,103,60,Finished,10009177190,
147,103,1103,MORGAN Max,148,52.259,90.01,129.691,174.621,233.662,94,69,Finished,10008949848,
148,158,1158,O'HARE Jack,149,58.128,101.797,147.521,202.967,238.879,148,15,Finished,10010778300,
149,133,1133,OBUHOVSKIY Aleksander,150,58.605,103.383,148.193,202.959,239.227,123,40,Finished,10016229393,
150,172,1172,SMITH Jacob,151,58.458,103.163,147.633,203.95,239.569,161,2,Finished,10053940771,
151,167,1167,SCHWARZLER Elias,152,,,,,,157,6,DNF,10011227934,
152,13,1013,ESTAQUE Thomas,153,,,,,,13,150,DNS,10008848505,
153,16,1016,PAYET Florent,154,,,,,,16,147,DNS,10004035685,
154,31,1031,BLAIR Lachlan,155,,,,,,31,132,DNS,10008827687,
155,32,1032,MCGLONE Fraser,156,,,,,,32,131,DNS,10007694306,
156,116,1116,BETHELL Peter,157,,,,,,107,56,DNS,10009658150,
157,123,1123,VIEIRA Douglas,158,,,,,,114,49,DNS,10010126679,
158,125,1125,VATAMANYUK Orest-Vasyl,159,,,,,,116,47,DNS,10009706347,
159,136,1136,LUCAS Cole,160,,,,,,126,37,DNS,10010037965,
160,150,1150,MYHRVOLD Henrik,161,,,,,,140,23,DNS,10009581055,
161,170,1170,SEMENOV Daniil,162,,,,,,160,3,DNS,10007933570,
