,name,split1,points,points_2,points_3,points_t,points_t_rank,rank,rank_t,split1_2,split1_3,split1_sector,split1_sector_t,split1_sector_t_rank,split1_sector_t_vs_best,split1_t,split1_t_rank,split1_t_vs_best,split2,split2_2,split2_3,split2_sector,split2_sector_2,split2_sector_3,split2_sector_t,split2_sector_t_rank,split2_sector_t_vs_best,split2_t,split2_t_rank,split2_t_vs_best,split3,split3_2,split3_3,split3_sector,split3_sector_2,split3_sector_3,split3_sector_t,split3_sector_t_rank,split3_sector_t_vs_best,split3_t,split3_t_rank,split3_t_vs_best,split4,split4_2,split4_3,split4_sector,split4_sector_2,split4_sector_3,split4_sector_t,split4_sector_t_rank,split4_sector_t_vs_best,split4_t,split4_t_rank,split4_t_vs_best,split5,split5_2,split5_3,split5_sector,split5_sector_2,split5_sector_3,split5_sector_t,split5_sector_t_rank,split5_sector_t_vs_best,split5_t,split5_t_rank,split5_t_vs_best
10,GUTIERREZ VILLEGAS Marcelo,46.97,50.0,45.0,98.0,193.0,11.0,11.0,11.0,21.467,61.269,129.706,129.706,16.0,4.694999999999993,129.706,16.0,4.694999999999993,83.10600000000001,56.692,189.25400000000002,36.136,35.225,127.985,199.346,12.0,7.456000000000017,329.052,11.0,10.225000000000023,121.564,85.39200000000001,215.855,38.458,28.7,26.601,93.759,14.0,3.0010000000000048,422.81100000000004,12.0,12.372000000000071,164.857,122.441,251.704,43.293000000000006,37.04900000000001,35.849000000000025,116.19100000000003,7.0,2.9050000000000296,539.002,12.0,14.291999999999916,196.06900000000002,144.994,277.698,31.21199999999999,22.553,25.993999999999968,79.75899999999996,7.0,1.875999999999948,618.761,11.0,14.125
11,HARRISON Charlie,46.559,55.0,55.0,43.0,153.0,15.0,12.0,12.0,21.833000000000002,61.042,129.434,129.434,13.0,4.423000000000002,129.434,13.0,4.423000000000002,83.594,56.331,191.64,37.035,34.498000000000005,130.59799999999998,202.13099999999997,17.0,10.240999999999985,331.565,17.0,12.738,121.62100000000001,85.836,217.85,38.027,29.504999999999995,26.210000000000008,93.742,13.0,2.984000000000009,425.307,16.0,14.868000000000052,165.00099999999998,122.221,254.387,43.38000000000001,36.38500000000001,36.537000000000006,116.30200000000002,8.0,3.0160000000000196,541.6089999999999,14.0,16.898999999999887,195.236,144.696,280.493,30.234999999999985,22.474999999999994,26.105999999999995,78.81599999999997,2.0,0.9329999999999643,620.425,12.0,15.788999999999987
12,WALLACE Mark,47.338,89.0,38.0,50.0,177.0,13.0,13.0,13.0,21.69,61.622,130.65,130.65,20.0,5.63900000000001,130.65,20.0,5.63900000000001,83.15,56.766999999999996,189.774,35.81200000000001,35.077,128.15200000000002,199.04100000000003,11.0,7.151000000000039,329.69100000000003,12.0,10.864000000000033,121.689,85.75200000000001,215.84,38.53899999999999,28.98499999999999,26.066000000000006,93.58999999999997,11.0,2.8319999999999794,423.281,13.0,12.842000000000041,164.85,122.95700000000001,253.095,43.161,37.205,37.255,117.62100000000001,14.0,4.335000000000008,540.902,13.0,16.192000000000007,194.878,146.045,279.94,30.02799999999999,23.087999999999994,26.845,79.96099999999998,8.0,2.0779999999999745,620.863,13.0,16.22700000000009
13,ATHERTON Gee,46.544,43.0,42.0,61.0,146.0,16.0,14.0,14.0,21.441,60.723,128.708,128.708,9.0,3.6970000000000027,128.708,9.0,3.6970000000000027,82.637,56.881,188.08599999999998,36.093,35.44,127.363,198.89600000000002,10.0,7.006000000000029,327.604,9.0,8.776999999999987,121.477,85.846,214.00400000000002,38.84,28.965000000000003,25.917999999999974,93.72299999999998,12.0,2.964999999999989,421.327,9.0,10.888000000000034,165.16099999999997,121.954,251.372,43.684,36.10799999999999,37.36800000000002,117.16000000000001,11.0,3.8740000000000094,538.487,10.0,13.77699999999993,196.97799999999998,145.273,279.346,31.81700000000001,23.319000000000006,27.97399999999999,83.11000000000001,17.0,5.227000000000004,621.597,14.0,16.961000000000013
14,MULALLY Neko,46.645,38.0,65.0,43.0,146.0,16.0,15.0,15.0,21.541999999999998,61.29600000000001,129.483,129.483,14.0,4.472000000000008,129.483,14.0,4.472000000000008,83.566,55.31399999999999,191.55,36.921,33.772,130.25400000000002,200.947,16.0,9.057000000000016,330.43,15.0,11.603000000000009,122.406,84.54899999999999,218.22099999999998,38.84,29.23500000000001,26.67099999999999,94.74600000000001,16.0,3.9880000000000138,425.17599999999993,15.0,14.736999999999966,166.146,120.848,255.37099999999998,43.73999999999998,36.29899999999999,37.15000000000001,117.189,12.0,3.9029999999999916,542.365,15.0,17.654999999999973,197.72,143.616,282.45099999999996,31.57400000000001,22.768000000000008,27.08000000000001,81.42200000000003,14.0,3.5390000000000157,623.787,15.0,19.151000000000067
15,BRAYTON Adam,47.045,44.0,39.0,48.0,131.0,17.0,16.0,16.0,20.89,61.761,129.696,129.696,15.0,4.685000000000002,129.696,15.0,4.685000000000002,83.041,56.153999999999996,190.558,35.99599999999999,35.264,128.797,200.057,13.0,8.167000000000002,329.753,13.0,10.925999999999988,122.361,85.568,216.61599999999999,39.32000000000001,29.413999999999994,26.058000000000018,94.79200000000003,17.0,4.0340000000000344,424.54499999999996,14.0,14.105999999999995,165.90099999999998,123.70299999999999,254.2,43.540000000000006,38.13500000000001,37.583999999999975,119.25899999999999,17.0,5.972999999999985,543.804,16.0,19.093999999999937,196.82,146.018,281.619,30.918999999999986,22.315,27.41900000000004,80.65300000000002,11.0,2.7700000000000102,624.457,16.0,19.821000000000026
16,SMITH Joseph,46.869,29.0,50.0,32.0,111.0,18.0,17.0,17.0,21.683000000000003,61.758,130.31,130.31,19.0,5.299000000000007,130.31,19.0,5.299000000000007,84.165,55.744,190.618,37.29600000000001,34.061,128.86,200.217,14.0,8.327000000000027,330.527,16.0,11.699999999999989,124.177,84.64299999999999,217.34,40.012,28.899,26.72200000000001,95.63300000000001,18.0,4.875000000000014,426.15999999999997,18.0,15.721000000000004,168.018,121.336,255.342,43.841,36.693000000000005,38.00200000000001,118.53600000000002,16.0,5.250000000000014,544.696,17.0,19.98599999999999,199.737,144.874,282.88599999999997,31.718999999999994,23.538,27.54400000000001,82.801,16.0,4.917999999999992,627.497,17.0,22.86099999999999
17,PAYET Florent,47.293,8.0,70.0,27.0,105.0,20.0,18.0,18.0,20.784000000000002,61.223,129.3,129.3,11.0,4.289000000000016,129.3,11.0,4.289000000000016,83.984,55.06399999999999,193.18400000000003,36.691,34.28,131.961,202.93200000000002,18.0,11.04200000000003,332.232,18.0,13.40500000000003,122.523,84.103,219.50799999999998,38.539,29.038999999999994,26.32400000000001,93.90200000000002,15.0,3.1440000000000197,426.13399999999996,17.0,15.694999999999993,167.891,120.59700000000001,257.376,45.368,36.494,37.86799999999997,119.72999999999996,18.0,6.44399999999996,545.864,18.0,21.153999999999996,203.638,143.026,284.448,35.74700000000001,22.429000000000013,27.072000000000006,85.24800000000002,18.0,7.365000000000009,631.112,18.0,26.476
18,WILLIAMSON Greg,46.034,42.0,43.0,25.0,110.0,19.0,19.0,19.0,21.171999999999997,61.707,128.91299999999998,128.91299999999998,10.0,3.901999999999987,128.91299999999998,10.0,3.901999999999987,82.40799999999999,55.971000000000004,208.734,36.374,34.79899999999999,147.02700000000004,218.20000000000005,20.0,26.31000000000006,347.113,20.0,28.286,121.83,85.57700000000001,245.15599999999998,39.422,29.605999999999998,36.422,105.44999999999999,20.0,14.691999999999993,452.563,20.0,42.124000000000024,166.15900000000002,122.384,287.915,44.32899999999999,36.806999999999995,42.759000000000015,123.89500000000001,19.0,10.609000000000009,576.4580000000001,20.0,51.74800000000005,196.98,145.171,323.47900000000004,30.821,22.786999999999992,35.563999999999965,89.17199999999995,19.0,11.288999999999945,665.63,19.0,60.99400000000003
19,SHAW Luca,45.61600000000001,69.0,160.0,52.0,281.0,7.0,20.0,20.0,20.613000000000003,59.141999999999996,125.37100000000001,125.37100000000001,2.0,0.36000000000001364,125.37100000000001,2.0,0.36000000000001364,81.166,54.162,198.497,35.55,33.549,139.35500000000002,208.454,19.0,16.56400000000002,333.82500000000005,19.0,14.998000000000047,118.37700000000001,82.787,230.95,37.211,28.62500000000001,32.45299999999997,98.28899999999999,19.0,7.530999999999992,432.11400000000003,19.0,21.675000000000068,168.99599999999998,118.094,283.025,50.61900000000002,35.30699999999999,52.07499999999999,138.001,20.0,24.715000000000003,570.115,19.0,45.40499999999997,200.863,139.991,330.07,31.86699999999999,21.89700000000002,47.045000000000016,100.80900000000003,20.0,22.926000000000016,670.924,20.0,66.28800000000001
20,LUCAS Dean,47.016000000000005,35.0,140.0,0.0,175.0,14.0,21.0,21.0,20.68,,1067.696,1067.696,21.0,942.685,1067.696,21.0,942.685,83.199,53.964,,36.183,33.284,,1069.467,21.0,877.5770000000001,1137.163,21.0,818.336,121.988,81.87,,38.789,27.90600000000001,,1066.695,21.0,975.9369999999999,1203.858,21.0,793.419,166.03599999999997,117.83,,44.048,35.959999999999994,,1080.008,21.0,966.722,1283.866,21.0,759.156,198.235,140.328,,32.19900000000001,22.498000000000005,,1054.6970000000001,21.0,976.8140000000001,1338.563,21.0,733.9270000000001
